Early/Mid,Age,Sample,Acrospirifer,Aesopomum,Alatiformia,Ambocoelia,Anastrophia,Anatrypa,Ancillotoechia,Anoplia,Antirhynchonella,Antistrix,Athyrhynchus,Athyris,Atrypa,Bifida,Bojothyris,Brachyprion,Brachyspirifer,Camarotoechia,Carinagypa,Cassidirostrum,Centronella,Chonetes,Choperella,Coelospira,Cortezorthis,Costispirifer,Cranaena,Crurithyris,Cryptonella,Cyrtina,Cyrtinaella,Cyrtinoides,Dalejina,Davidsonia,Delthyris,Desatrypa,Desquamatia,Devonoproductus,Dicoelosia,Discomyorthis,Dolerorthis,Droharhynchia,Dyticospirifer,Echinocoelia,Eleutherokomma,Elita,Elythyna,Emanuella,Enantiosphenella,Eoglossinotoechia,Eoschuchertella,Eurekaspirifer,Geranocephalus,Glassia,Gonatrypa,Gypidula,Gypidulina,Hadrorhynchia,Hebetoechia,Hedeina,Howellella,Howittia,Hypothyridina,Hysterolites,Ilmenia,Innuitella,Invertrypa,Iridistrophia,Johnsonetes,Ladjia,Ladogioides,Leiorhynchus,Lepidoleptaena,Leptaena,Leptaenisca,Leptathyris,Leptocoelina,Leptostrophia,Levenea,Llanoella,Machaeraria,Megakozlowskiella,Megastrophia,Megastrophiella,Meristella,Meristina,Mesodouvillina,Mesoleptostrophia,Metaplasia,Mimatrypa,Mononusphaericorhynchus,Muriferella,Nanothyris,Navispira,Nemesa,Nervostrophia,Newberria,Notoparmella,Nucleospira,Ogilviella,Oriskania,Orthostrophella,orthotetoaceans,Pacificocoelia,Parachonetes,Paracrothyris,Parapholidostrophia,Parastringocephalus,Pentamerella,Pholidostrophia,Phragmophora,Phragmostrophia,Pinguispirifer,Platyterorhynchus,Pleiopleurina,Plicoplasia,Productella,Protathyris,Protocortezorthis,pseudoatrypa,Pseudoparazyga,Ptychopleurella,Quadrithyris,Radiatrypa,Rensselaeria,Resserella,Reticulariopsis,Reticulatrypa,Rhipidomella,Rhipidothyris,Rhynchospirina,Rhyssochonetes,Salopina,Schizophoria,Schuchertella,Septatrypa,Sieberella,Skenidioides,Skenidium,Sphaerirhynchia,Spinatrypa,Spinatrypina,Spinella,Spinoplasia,Spinulicosta,Spirigerina,Stringocephalus,Strophochonetes,Strophodonta,Strophonella,Subrensselandia,Talentella,Tecnocyrtina,Teichertina,Thliborhynchia,Trematospira,Trigonirhynchia,Tyersella,Undispirifer,Vagrania,Vallomyonia,Variatrypa,Warrenella,Werneckeella
Middle,GIVETIAN,TAVIII D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006711409,0,0,0,0.127516779,0,0,0,0,0,0,0,0,0,0.053691275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040268456,0,0,0,0,0,0,0,0,0,0,0,0.402684564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10738255,0,0,0,0,0,0,0,0.241610738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020134228,0
Middle,GIVETIAN,TAX 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011363636,0,0,0,0,0,0,0,0,0.085227273,0,0.005681818,0,0,0,0,0,0,0,0,0,0.005681818,0,0,0,0.193181818,0.028409091,0,0,0,0,0,0,0,0.056818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039772727,0,0,0,0,0,0,0.028409091,0,0,0,0,0,0.142045455,0,0,0,0,0,0,0,0,0,0,0,0.085227273,0,0,0,0.022727273,0
Middle,GIVETIAN,TAX 130,0,0,0,0.227777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0.005555556,0,0,0,0,0,0,0,0,0,0,0,0,0.094444444,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127777778,0,0,0,0,0,0,0,0,0,0.233333333,0,0,0,0,0,0,0,0.127777778,0,0,0,0,0,0,0,0,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0.038888889,0
Middle,GIVETIAN,TAX 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0.061403509,0,0.00877193,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0.429824561,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061403509,0,0,0,0,0,0,0.01754386,0.01754386,0,0,0,0,0.092105263,0,0,0,0,0,0,0,0,0,0,0,0.087719298,0,0.004385965,0,0.021929825,0
Middle,GIVETIAN,TAX 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042654028,0,0.042654028,0,0.014218009,0,0,0,0,0,0,0,0,0,0.009478673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004739336,0,0,0,0,0.004739336,0,0,0,0,0,0,0.488151659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246445498,0,0,0,0,0,0,0,0.099526066,0,0,0,0,0,0,0,0,0,0,0,0.004739336,0,0,0,0,0,0,0,0,0.042654028,0
Middle,GIVETIAN,TAX 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0.492753623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle,GIVETIAN,TAX 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0.049180328,0,0,0,0,0,0,0,0,0,0.032786885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68852459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06557377,0,0,0,0,0,0,0,0.131147541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0
Middle,GIVETIAN,TAX 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036764706,0,0.066176471,0,0.007352941,0,0,0,0,0,0,0,0,0,0.051470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051470588,0,0,0,0,0,0,0,0,0,0,0,0.573529412,0,0.022058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051470588,0,0,0,0,0,0,0,0.036764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073529412,0,0.029411765,0
Middle,GIVETIAN,TAX 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004366812,0,0,0,0,0,0,0.06768559,0,0.019650655,0,0.002183406,0,0,0,0,0,0,0,0,0,0.021834061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008733624,0,0,0,0,0,0,0,0,0,0,0,0.698689956,0,0.008733624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052401747,0,0,0,0,0,0,0,0.048034934,0,0,0,0,0,0,0,0,0,0,0,0.002183406,0,0,0,0,0,0,0.037117904,0,0.028384279,0
Middle,GIVETIAN,TAX 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0
