Age,X,Y,,,,,,,,
Middle,0.3147,-0.2721,,,,,,,,
Middle,0.4064,-0.7211,,,,,,,,
Middle,0.3464,-0.3442,,,,,,,,
Middle,0.4167,-0.1395,,,,,,,,
Middle,0.3496,-0.1905,,,,,,,,
Middle,0.1254,-0.4668,,,,,,,,
Early,-0.4285,-0.007,,,,,,,,
Middle,1.5636,-0.3949,,,,,,,,
Middle,1.1911,-0.0159,,,,,,,,
Middle,1.3126,0.1238,,,,,,,,
Middle,0.5842,0.0748,,,,,,,,
Middle,0.2507,-0.3514,,,,,,,,
Middle,0.119,-0.1964,,,,,,,,
Middle,0.0626,-0.6025,,,,,,,,
Middle,1.475,-0.2957,,,,,,,,
Middle,1.2269,0.0152,,,,,,,,
Early,-0.5889,-0.2319,,,,,,,,
Early,-0.5044,-0.2887,,,,,,,,
Early,-0.5627,-0.0206,,,,,,,,
Early,-0.7703,-0.2068,,,,,,,,
Early,-0.6044,-0.0165,,,,,,,,
Early,-0.6633,-0.1295,,,,,,,,
Early,-0.6095,-0.147,,,,,,,,
Early,-0.5414,-0.0656,,,,,,,,
Early,-0.3911,-0.5008,,,,,,,,
Early,-0.5029,0.3952,,,,,,,,
Early,-0.3404,-0.3652,,,,,,,,
Early,-0.4735,-0.1345,,,,,,,,
Early,-1.0769,0.8156,,,,,,,,
Early,-0.8419,0.7454,,,,,,,,
Early,-0.7304,0.6673,,,,,,,,
Early,-1.1528,0.7581,,,,,,,,
Early,-0.614,0.515,,,,,,,,
Early,-0.6165,0.7272,,,,,,,,
Early,-0.6446,0.6346,,,,,,,,
Early,-0.6607,-0.5116,,,,,,,,
Early,-0.5694,-0.5087,,,,,,,,
Early,-0.4351,-0.0414,,,,,,,,
Early,-0.4021,-0.0447,,,,,,,,
Early,-2.0725,-0.5366,,,,,,,,
Early,-0.5243,0.5751,,,,,,,,
Early,-0.6095,-1.0205,,,,,,,,
Middle,0.5847,0.3102,,,,,,,,
Middle,0.9857,0.3227,,,,,,,,
Middle,0.5087,-0.0062,,,,,,,,
Early,-0.2154,-0.0234,,,,,,,,
Middle,0.6532,-0.0684,,,,,,,,
Early,-1.0788,0.9461,,,,,,,,
Early,-0.6869,0.5796,,,,,,,,
Early,-0.8241,0.4074,,,,,,,,
Early,-0.7881,0.5055,,,,,,,,
Early,-0.7623,0.6182,,,,,,,,
Early,-0.7878,0.6342,,,,,,,,
Early,-0.081,0.7233,,,,,,,,
Middle,0.5026,0.4392,,,,,,,,
Middle,1.3616,0.1186,,,,,,,,
Early,-0.8327,0.0754,,,,,,,,
Early,-1.6719,0.5886,,,,,,,,
Middle,0.9563,0.203,,,,,,,,
Early,-0.7471,0.7713,,,,,,,,
Middle,0.5654,0.8186,,,,,,,,
Middle,1.1356,0.6191,,,,,,,,
Middle,0.483,0.3802,,,,,,,,
Middle,1.0744,0.294,,,,,,,,
Middle,0.9355,0.622,,,,,,,,
Middle,-0.0065,0.9737,,,,,,,,
Middle,1.0229,0.4891,,,,,,,,
Middle,0.6427,0.3713,,,,,,,,
Middle,1.1325,0.4551,,,,,,,,
Middle,1.0855,0.5109,,,,,,,,
Middle,1.1784,0.0237,,,,,,,,
Middle,0.5732,0.365,,,,,,,,
Early,-0.3758,0.2253,,,,,,,,
Middle,0.655,0.0152,,,,,,,,
Middle,0.3491,-0.7865,,,,,,,,
Middle,1.1813,-0.0411,,,,,,,,
Middle,0.2293,-0.8437,,,,,,,,
Middle,0.9834,0.9224,,,,,,,,
Middle,0.1471,-0.8853,,,,,,,,
Middle,-0.0277,-0.5236,,,,,,,,
Middle,0.0154,-0.6831,,,,,,,,
Middle,0.1483,-0.8189,,,,,,,,
Middle,1.0459,0.5936,,,,,,,,
Middle,1.2909,-0.1762,,,,,,,,
Middle,0.3388,0.668,,,,,,,,
Early,-0.5265,0.0817,,,,,,,,
Middle,0.8434,1.4101,,,,,,,,
Middle,0.5609,0.0324,,,,,,,,
Middle,0.9836,0.4715,,,,,,,,
Middle,0.7403,-0.0581,,,,,,,,
Middle,1.0037,-0.2534,,,,,,,,
Middle,0.9816,0.3503,,,,,,,,
Middle,0.615,-0.0392,,,,,,,,
Early,-0.1766,-0.4891,,,,,,,,
Middle,1.152,0.2448,,,,,,,,
Middle,0.7551,0.3144,,,,,,,,
Middle,0.9,-0.0159,,,,,,,,
Middle,0.8528,0.4353,,,,,,,,
Middle,1.2647,0.1719,,,,,,,,
Middle,1.1434,0.0542,,,,,,,,
Middle,1.4885,0.0233,,,,,,,,
Middle,1.308,-0.0407,,,,,,,,
Middle,1.8755,-0.2451,,,,,,,,
Middle,1.7693,-0.1332,,,,,,,,
Middle,1.2057,-0.7141,,,,,,,,
Middle,1.1139,-0.4097,,,,,,,,
Middle,0.5671,0.1829,,,,,,,,
Middle,1.1473,-0.7955,,,,,,,,
Middle,1.1301,-0.669,,,,,,,,
Middle,0.2394,-0.2546,,,,,,,,
Middle,0.3224,0.031,,,,,,,,
Middle,0.6423,0.159,,,,,,,,
Middle,0.3173,-0.2073,,,,,,,,
